grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0104776611,3.92856892,375.845583,2.73832393,0.278190826,2.55049801e-05,8.32089341e-06,0.150261819,9.53201194e-05,0.00205400555,0.000390980418,4.8515948e-05,0.568924706,6.33781209e-15
0.0104780273,3.97189368,380.231546,2.70845473,0.277597115,3.05569737e-05,9.17430554e-06,0.150265074,0.000106847446,0.00223370857,0.000418481576,5.20727756e-05,0.56928697,8.54982884e-15
0.0104783936,4.0173823,384.834007,2.67778702,0.276986921,3.64846499e-05,1.0122849e-05,0.150262878,0.000119723797,0.00242735766,0.000446609452,5.57801173e-05,0.569654122,1.55177105e-15
0.0104787598,4.06507187,389.656837,2.64637243,0.276360169,4.34119562e-05,1.1176154e-05,0.150254923,0.000134065842,0.00263563574,0.000475167332,5.96290275e-05,0.570025822,-3.55538675e-15
0.010479126,4.11499252,394.703239,2.61426819,0.275716802,5.14746226e-05,1.23444799e-05,0.150240915,0.000149989948,0.00285921032,0.00050393809,6.36090471e-05,0.570401717,1.86402329e-15
0.0104794922,4.16716688,399.975691,2.58153664,0.275056784,6.08203023e-05,1.36386828e-05,0.150220574,0.000167609652,0.00309872794,0.000532687642,6.77083264e-05,0.570781449,-3.49223626e-15
0.0104798584,4.22160958,405.475901,2.54824463,0.274380102,7.16085397e-05,1.50701705e-05,0.150193641,0.000187032804,0.00335480881,0.000561169167,7.19137706e-05,0.571164654,3.90983133e-15
0.0104802246,4.2783269,411.20477,2.5144628,0.273686759,8.40105451e-05,1.66508458e-05,0.150159871,0.000208358449,0.00362804181,0.000589127965,7.62111963e-05,0.571550969,4.95206521e-15
0.0104805908,4.3373165,417.162361,2.48026487,0.27297678,9.82087623e-05,1.83930386e-05,0.150119041,0.000231673532,0.00391897986,0.000616306745,8.05854932e-05,0.571940032,2.78066163e-15
0.010480957,4.39856728,423.347888,2.44572675,0.272250206,0.000114396213,2.03094291e-05,0.150070944,0.000257049567,0.00422813594,0.000642451141,8.50207837e-05,0.572331487,-4.33629393e-16
0.0104816895,4.52772695,436.391897,2.37595898,0.270748042,0.000153302496,2.46999124e-05,0.149952553,0.00031409901,0.00490197227,0.000690905906,9.40220543e-05,0.573120403,2.46008684e-15
0.0104824219,4.66531479,450.291863,2.30588798,0.269181306,0.00020258573,2.99171107e-05,0.149804792,0.000379490124,0.00565046802,0.000732884939,0.000103062648,0.573915493,7.83915099e-15
0.0104831543,4.810941,465.012188,2.23608918,0.26755082,0.000264028967,3.60613666e-05,0.149626849,0.000452952028,0.00647564131,0.000767169603,0.000112007659,0.574714469,8.41293735e-16
0.0104838867,4.96410846,480.506697,2.16709465,0.265857606,0.000339455626,4.32309697e-05,0.149418174,0.000533762021,0.00737875836,0.000793002069,0.00012072175,0.575515289,1.07354309e-15
0.0104846191,5.12423331,496.720596,2.09937606,0.264102863,0.000430669268,5.15213234e-05,0.149178459,0.000620755664,0.00836036793,0.000810117989,0.000129072228,0.576316174,6.79178611e-15
0.0104853516,5.29066848,513.592714,2.03333333,0.262287947,0.000539391513,6.10255101e-05,0.148907631,0.000712386989,0.00942036245,0.000818721218,0.000136932527,0.577115602,6.75719833e-15
0.010486084,5.46272807,531.057841,1.96928939,0.260414354,0.000667203694,7.18363691e-05,0.148605828,0.000806831757,0.0105580569,0.000819411798,0.000144186119,0.577912292,5.6001124e-15
0.0104868164,5.6397105,549.048951,1.90749016,0.258483701,0.000815497481,8.40499602e-05,0.148273374,0.000902119118,0.0117722777,0.000813084589,0.000150730514,0.578705166,2.15391746e-15
0.0104875488,5.82091897,567.499176,1.84810891,0.256497706,0.000985438547,9.77700782e-05,0.147910737,0.000996272826,0.0130614573,0.000800817366,0.000156480795,0.579493321,2.91155866e-15
0.0104882812,6.00567825,586.34343,1.79125349,0.254458156,0.00117794555,0.000113113336,0.147518484,0.00108744322,0.0144237297,0.000783764638,0.00016137218,0.580275991,4.33252916e-15
0.0104897461,6.38376366,625.012824,1.68516451,0.250226069,0.00163183735,0.000149015943,0.146648033,0.00125610178,0.0173583685,0.000738843961,0.000168474021,0.581823257,5.1621725e-15
0.0104904785,6.57534319,644.667998,1.63606546,0.248038569,0.00189437735,0.000169985196,0.146173693,0.00133097332,0.0189207339,0.000713950778,0.000170734738,0.582586982,3.01257886e-15
0.0104912109,6.76819369,664.494819,1.58944798,0.245804878,0.00218068722,0.000193247756,0.145672211,0.00139878284,0.0205469017,0.000688142206,0.000172096455,0.583343053,4.19560934e-15
0.0104919434,6.96187032,684.449091,1.54523013,0.243526732,0.00249058534,0.000219042422,0.145143847,0.00145937976,0.0222347616,0.000662065963,0.000172588036,0.584090998,4.21399533e-15
0.0104926758,7.15597855,704.491249,1.50331526,0.241205783,0.00282375624,0.000247637447,0.14458868,0.0015129278,0.0239823818,0.000636225865,0.000172249573,0.584830359,3.15972597e-15
